epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2185,1.81103,3.08807,2.25675,0.00393,1,0.34157,0.1531,1.55529,3.01595,2.58965,0.0001667,0.0001667,0.0001667
2,33.2488,1.58845,2.51617,2.03495,0.00424,0.92121,0.39236,0.18628,1.82851,2.76884,2.96136,0.000343139,0.000343139,0.000343139
3,46.1528,1.54316,2.23726,1.94034,0.75352,0.20227,0.51016,0.19726,1.62822,2.5025,2.7834,0.000512316,0.000512316,0.000512316
4,58.5591,1.52139,2.1169,1.87784,0.62832,0.49545,0.52768,0.21153,1.8393,2.2109,3.22577,0.000674231,0.000674231,0.000674231
5,71.359,1.50678,2.12158,1.88912,0.53035,0.48099,0.4561,0.15491,1.9888,2.41672,3.38004,0.000828886,0.000828886,0.000828886
6,83.5461,1.50573,2.04271,1.9011,0.50925,0.62452,0.53896,0.17196,2.20494,2.32532,3.71211,0.000976279,0.000976279,0.000976279
7,97.2197,1.54148,1.92087,1.874,0.41134,0.32424,0.40406,0.1172,2.37924,2.41933,3.71099,0.00111641,0.00111641,0.00111641
8,105.716,1.54799,2.004,1.90422,0.77396,0.5197,0.5685,0.19397,2.19686,2.01211,4.28768,0.00124928,0.00124928,0.00124928
9,117.885,1.57541,1.92443,1.91696,0.38459,0.51364,0.32692,0.11322,2.06551,3.70123,3.36326,0.00137489,0.00137489,0.00137489
10,128.591,1.48619,1.83994,1.85095,0.44213,0.5803,0.40827,0.10831,2.43016,2.90086,4.41496,0.00136994,0.00136994,0.00136994
11,139.196,1.53735,1.80398,1.88116,0.62,0.48246,0.51008,0.19735,2.19886,2.12427,3.32891,0.00133693,0.00133693,0.00133693
12,147.467,1.57484,1.87643,1.89399,0.76003,0.54256,0.60787,0.26699,2.09518,2.25289,3.53134,0.00130393,0.00130393,0.00130393
13,160.492,1.50397,1.73474,1.87796,0.65438,0.52518,0.58607,0.249,2.00767,2.26826,3.36693,0.00127092,0.00127092,0.00127092
14,171.553,1.49613,1.73459,1.87287,0.71025,0.54194,0.66945,0.24341,2.03636,2.38918,3.6484,0.00123791,0.00123791,0.00123791
15,182.596,1.49522,1.71976,1.8281,0.66924,0.52727,0.60894,0.25018,2.16852,2.00109,3.1916,0.00120491,0.00120491,0.00120491
16,191.118,1.47536,1.66394,1.82608,0.79346,0.57273,0.66487,0.26895,1.99035,2.03365,3.0953,0.0011719,0.0011719,0.0011719
17,203.49,1.41477,1.61354,1.79328,0.78476,0.57319,0.67186,0.25007,2.17542,2.07854,3.18479,0.00113889,0.00113889,0.00113889
18,214.456,1.43885,1.65748,1.8008,0.75341,0.44242,0.61158,0.18983,2.39736,2.03636,3.35859,0.00110589,0.00110589,0.00110589
19,225.693,1.4357,1.61168,1.7627,0.51453,0.69599,0.58444,0.22138,2.3692,1.95947,3.41456,0.00107288,0.00107288,0.00107288
20,236.237,1.4209,1.60785,1.78848,0.78667,0.69628,0.80008,0.35784,1.74642,1.62288,2.75015,0.00103987,0.00103987,0.00103987
21,246.821,1.43103,1.53674,1.79301,0.71149,0.73397,0.7437,0.30179,1.94165,1.77659,2.91774,0.00100687,0.00100687,0.00100687
22,257.444,1.43202,1.54746,1.79703,0.62616,0.55758,0.63529,0.26755,2.09818,1.7169,3.13806,0.000973861,0.000973861,0.000973861
23,269.737,1.39997,1.55582,1.76473,0.67566,0.62763,0.66512,0.31135,1.93202,1.39695,2.89704,0.000940855,0.000940855,0.000940855
24,280.343,1.38178,1.57869,1.78484,0.77299,0.72951,0.77377,0.36849,1.76446,1.35114,2.65501,0.000907848,0.000907848,0.000907848
25,290.523,1.38501,1.55236,1.7434,0.78996,0.76111,0.77957,0.37931,1.74492,1.32739,2.63855,0.000874842,0.000874842,0.000874842
26,301.444,1.33472,1.5095,1.71787,0.88414,0.79242,0.85698,0.40942,1.64348,1.18371,2.54404,0.000841835,0.000841835,0.000841835
27,314.252,1.34334,1.43856,1.68087,0.90031,0.77576,0.83958,0.42988,1.72564,1.18596,2.64969,0.000808828,0.000808828,0.000808828
28,325.095,1.37665,1.50312,1.77879,0.9266,0.8161,0.86492,0.41688,1.77995,1.2286,2.80436,0.000775822,0.000775822,0.000775822
29,336.697,1.2896,1.39354,1.68183,0.96292,0.81515,0.86358,0.38426,1.93512,1.16497,2.9871,0.000742815,0.000742815,0.000742815
30,346.931,1.34569,1.40722,1.70152,0.90883,0.79242,0.84088,0.3945,1.79741,1.12885,2.70152,0.000709809,0.000709809,0.000709809
31,357.923,1.32679,1.44626,1.68012,0.91189,0.72651,0.82744,0.35496,1.75368,1.26994,2.64325,0.000676802,0.000676802,0.000676802
32,369.583,1.3006,1.40474,1.64232,0.85038,0.68291,0.76577,0.3384,1.85662,1.39705,2.75607,0.000643795,0.000643795,0.000643795
33,381.108,1.29392,1.36999,1.64926,0.84549,0.70909,0.77919,0.36651,1.75551,1.39521,2.60587,0.000610789,0.000610789,0.000610789
34,391.862,1.26915,1.38993,1.67335,0.89686,0.70909,0.82366,0.40612,1.722,1.30393,2.52681,0.000577782,0.000577782,0.000577782
35,399.438,1.25095,1.37588,1.62603,0.86772,0.66522,0.80654,0.42065,1.57331,1.38898,2.43699,0.000544776,0.000544776,0.000544776
